TIME: 27813185000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27813215000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27813225000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27813235000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27813805000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 27841905000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27841935000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27841945000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27841955000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27842525000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 27870625000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27870655000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27870665000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27870675000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27871225000 | RAM WRITE | Addr: 20 <= Data: 20
TIME: 27871235000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 27871245000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 27899345000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27899375000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27899385000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27899395000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27899955000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 27899965000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 27928065000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 27928095000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27928105000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27928115000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27928675000 | RAM WRITE | Addr: 20 <= Data: 19
TIME: 27928685000 | RAM WRITE | Addr: 19 <= Data: 1
TIME: 27956785000 | RAM WRITE | Addr: 18 <= Data: 16
